sample,kappa_sea,kappa_artificial,persistence,temperature,n,sea_arrival_rate,disorientation_rate,predation_rate,exhaustion_rate,censored_rate,median_time_to_sea_s,median_path_length_m,median_efficiency,mean_abs_initial_heading_deg,median_max_landward_m
0,0.35005582756102976,0.3670698797021431,0.4404246832093826,0.422380984245042,15.0,0.0,1.0,0.4,0.0,0.4666666666666667,,177.73759005323643,0.21094299741979256,126.49689481151016,4.0
1,0.8447743462733199,0.47076465611174984,1.7459749449057582,0.6337444645233858,15.0,0.06666666666666667,1.0,0.4,0.0,0.5333333333333333,1395.0,205.04520189781132,0.18173734043939013,78.85103771873723,2.5
2,0.5795313659446252,1.0617524421989197,0.9484806004353401,0.9906255433207751,15.0,0.0,1.0,0.06666666666666667,0.0,0.4,,88.99747468305841,0.41574213349048356,150.4048513557777,8.5
3,0.4983429982423021,0.7010943496520898,1.2449448680311823,1.1872825482336027,15.0,0.0,1.0,0.0,0.0,0.26666666666666666,,54.56244584051388,0.7054657590279261,143.01506005716223,8.5
4,1.8599944380874516,1.2853428546062067,1.1777751334788575,1.2390982017200651,15.0,0.0,1.0,0.26666666666666666,0.0,0.6,,204.5599205235727,0.18335781079700159,131.5430788304354,6.5
5,2.3953590137903156,0.14111302027766254,1.0878900737291928,0.6563398295247888,15.0,1.0,0.0,0.0,0.0,0.0,395.0,45.12741699796948,0.8394587333055925,11.945920145612588,0.0
6,1.409530281856144,0.3013344171243422,0.16498946208049306,1.7007494895530875,15.0,0.4,0.8666666666666667,0.3333333333333333,0.0,0.26666666666666666,1110.0,151.09545442950537,0.24156914672128227,54.80739667588291,0.0
7,2.188001263756347,1.1650184634482208,1.6105382692278787,1.031756425902958,15.0,0.06666666666666667,1.0,0.2,0.0,0.6,1460.0,205.28784258493067,0.18277586380993724,92.88379482360455,5.0
8,0.8933312127207922,1.0689400617807847,0.31620314310425246,1.7334752217693035,15.0,0.0,1.0,0.3333333333333333,0.0,0.13333333333333333,,81.63351365237939,0.4409953509204452,121.5198613897618,8.5
9,1.0065190116667804,0.8717157044506909,0.4682409150381155,0.3411322172233595,15.0,0.0,1.0,0.26666666666666666,0.0,0.3333333333333333,,188.23401871576783,0.1938677198147878,128.09913934886978,6.5
10,1.6424095385600772,0.8248827256510309,0.8653698924059182,0.4688694829839682,15.0,0.06666666666666667,1.0,0.6,0.0,0.3333333333333333,1130.0,133.0893577750954,0.26673808179306585,77.65452095097247,0.5
11,1.1662259275949676,0.9715454177530183,0.7036103550901069,0.9099040392384234,15.0,0.0,1.0,0.4666666666666667,0.0,0.3333333333333333,,175.70205614730367,0.21627521517529577,122.11300488523206,6.5
12,1.711367185711596,0.5885110746486637,1.5707462480958445,0.8030192476872591,15.0,0.8,1.0,0.13333333333333333,0.0,0.06666666666666667,735.0,88.99747468305837,0.40461822235114375,51.511324873255845,0.0
13,2.0734591905321267,0.119877335089821,0.05161534776754731,1.505635478632075,15.0,0.9333333333333333,0.4666666666666667,0.06666666666666667,0.0,0.0,555.0,65.14823227814078,0.5680123421002831,20.95495640862089,0.0
14,2.258768403994409,0.6082124709904081,1.4461316847290784,1.5518025785269594,15.0,0.6,0.8666666666666667,0.2,0.0,0.2,855.0,119.76093065034914,0.30053624169874527,47.63290587114555,0.0
15,1.3565823487578208,0.2717740938079069,0.6474778928212613,1.347855815118053,15.0,0.6,1.0,0.3333333333333333,0.0,0.06666666666666667,915.0,103.56854249492393,0.3620790550551384,50.35401009970034,0.5
