parameter,output,spearman_rho
kappa_sea,sea_arrival_rate,0.7136433285207028
kappa_artificial,sea_arrival_rate,-0.7105606359568984
persistence,sea_arrival_rate,0.09093943063222779
temperature,sea_arrival_rate,0.1757134761368469
kappa_sea,disorientation_rate,-0.6132090146226074
kappa_artificial,disorientation_rate,0.6209466678039651
persistence,disorientation_rate,0.24567048850811082
temperature,disorientation_rate,-0.34432556657042307
kappa_sea,median_time_to_sea_s,-0.5
kappa_artificial,median_time_to_sea_s,0.6833333333333333
persistence,median_time_to_sea_s,0.43333333333333335
temperature,median_time_to_sea_s,-0.2
kappa_sea,median_efficiency,0.09117647058823529
kappa_artificial,median_efficiency,-0.36764705882352944
persistence,median_efficiency,-0.25
temperature,median_efficiency,0.32941176470588235
kappa_sea,mean_abs_initial_heading_deg,-0.6970588235294117
kappa_artificial,mean_abs_initial_heading_deg,0.7
persistence,mean_abs_initial_heading_deg,0.052941176470588235
temperature,mean_abs_initial_heading_deg,-0.22058823529411764
